length,reward,score
18,8,8
14,7,7
17,7,7
15,5,5
17,6,6
17,7,7
18,5,5
17,6,6
16,5,5
17,8,8
17,8,8
18,6,6
17,8,8
17,9,9
17,8,8
19,6,6
17,8,8
16,9,9
17,7,7
19,6,6
18,8,8
16,7,7
16,8,8
18,8,8
17,5,5
18,7,7
18,7,7
16,7,7
16,7,7
19,6,6
15,7,7
17,8,8
17,8,8
18,7,7
17,8,8
17,8,8
20,6,6
16,8,8
17,8,8
16,9,9
18,6,6
17,5,5
16,7,7
17,5,5
18,6,6
18,7,7
18,7,7
18,7,7
16,8,8
19,7,7
17,8,8
16,5,5
10,2,2
19,6,6
16,5,5
17,6,6
16,8,8
18,7,7
17,8,8
14,5,5
17,8,8
18,7,7
17,8,8
14,5,5
17,6,6
15,7,7
19,5,5
18,7,7
16,7,7
17,6,6
17,7,7
17,7,7
18,7,7
17,9,9
17,7,7
17,9,9
18,6,6
17,8,8
17,8,8
17,9,9
14,6,6
19,7,7
17,8,8
16,8,8
17,8,8
17,7,7
17,7,7
15,9,9
17,8,8
17,8,8
18,6,6
18,8,8
17,9,9
18,9,9
16,7,7
17,7,7
18,6,6
17,7,7
17,8,8
16,9,9
17,6,6
18,7,7
16,7,7
19,8,8
15,6,6
17,8,8
16,7,7
17,8,8
18,7,7
17,8,8
17,6,6
17,6,6
17,7,7
16,8,8
17,7,7
17,8,8
19,5,5
17,7,7
18,7,7
16,6,6
15,8,8
17,8,8
17,8,8
19,5,5
17,8,8
17,7,7
16,8,8
16,5,5
17,8,8
17,8,8
16,8,8
19,7,7
16,7,7
16,7,7
16,9,9
15,5,5
13,4,4
18,8,8
18,5,5
19,7,7
17,8,8
18,8,8
17,8,8
17,7,7
17,7,7
17,8,8
17,7,7
12,3,3
13,5,5
18,8,8
18,8,8
18,8,8
18,7,7
17,9,9
17,7,7
17,7,7
16,7,7
18,6,6
16,7,7
19,7,7
19,7,7
16,8,8
13,5,5
18,6,6
16,6,6
18,7,7
17,8,8
17,6,6
17,8,8
18,5,5
16,5,5
18,8,8
18,8,8
17,8,8
14,5,5
17,8,8
16,7,7
16,9,9
20,6,6
17,8,8
17,8,8
12,4,4
17,8,8
13,5,5
16,9,9
17,8,8
18,8,8
18,6,6
17,8,8
18,5,5
17,8,8
17,8,8
15,5,5
17,8,8
17,6,6
17,8,8
16,9,9
19,6,6
17,8,8
18,7,7
17,9,9
17,8,8
17,4,4
17,9,9
16,4,4
16,6,6
14,6,6
17,7,7
16,8,8
16,8,8
18,7,7
17,8,8
16,8,8
18,7,7
18,9,9
17,7,7
17,8,8
19,6,6
16,5,5
17,7,7
16,7,7
18,7,7
17,8,8
16,7,7
18,7,7
16,9,9
16,7,7
16,9,9
18,7,7
17,8,8
18,5,5
17,8,8
18,7,7
15,7,7
17,7,7
18,7,7
18,7,7
17,8,8
20,5,5
17,8,8
18,8,8
15,9,9
17,8,8
17,8,8
16,5,5
16,8,8
17,5,5
18,8,8
17,7,7
17,8,8
17,6,6
17,7,7
17,5,5
16,8,8
16,8,8
16,6,6
16,6,6
16,7,7
16,7,7
17,8,8
19,6,6
16,6,6
15,7,7
18,7,7
18,6,6
17,7,7
17,8,8
17,9,9
18,6,6
18,8,8
15,5,5
18,6,6
19,8,8
16,9,9
19,6,6
17,8,8
16,6,6
17,8,8
17,7,7
16,6,6
16,8,8
16,6,6
17,5,5
18,9,9
17,7,7
17,7,7
18,4,4
18,7,7
17,8,8
15,6,6
16,7,7
18,6,6
15,7,7
18,7,7
16,9,9
18,8,8
17,8,8
18,7,7
17,5,5
14,5,5
15,5,5
16,7,7
18,8,8
16,9,9
16,8,8
17,8,8
13,5,5
14,5,5
17,9,9
16,7,7
17,8,8
18,7,7
17,7,7
16,7,7
15,7,7
17,6,6
17,8,8
17,8,8
18,8,8
15,7,7
17,7,7
19,5,5
17,6,6
17,8,8
18,8,8
17,8,8
15,7,7
18,6,6
16,7,7
18,8,8
17,8,8
17,6,6
16,8,8
16,6,6
18,7,7
16,7,7
18,9,9
19,7,7
17,7,7
18,7,7
16,6,6
15,5,5
18,6,6
18,8,8
17,4,4
16,7,7
17,9,9
17,8,8
17,6,6
18,9,9
17,8,8
17,7,7
16,8,8
16,9,9
16,8,8
17,7,7
17,6,6
16,8,8
17,5,5
17,6,6
17,8,8
16,6,6
17,6,6
17,7,7
18,5,5
16,3,3
15,6,6
14,5,5
16,9,9
16,6,6
17,8,8
17,7,7
19,6,6
16,6,6
16,8,8
16,6,6
15,6,6
18,8,8
15,6,6
17,6,6
18,7,7
16,9,9
17,6,6
14,6,6
17,8,8
16,8,8
19,7,7
17,6,6
17,7,7
17,8,8
18,8,8
18,5,5
16,8,8
16,7,7
17,8,8
14,9,9
17,7,7
17,7,7
17,9,9
15,5,5
19,6,6
16,5,5
17,8,8
16,7,7
8,2,2
19,6,6
18,8,8
17,7,7
18,8,8
14,5,5
18,7,7
15,6,6
18,8,8
15,9,9
14,6,6
16,5,5
16,9,9
17,7,7
15,6,6
17,8,8
17,6,6
17,6,6
18,7,7
14,6,6
14,6,6
19,6,6
19,6,6
17,4,4
18,8,8
18,7,7
17,9,9
15,6,6
17,6,6
16,7,7
16,8,8
17,6,6
17,8,8
18,8,8
17,8,8
17,8,8
19,5,5
18,5,5
16,8,8
18,5,5
17,7,7
17,7,7
19,7,7
18,6,6
18,8,8
17,8,8
13,5,5
17,8,8
17,8,8
16,9,9
16,7,7
16,8,8
16,9,9
16,7,7
16,8,8
17,6,6
18,8,8
15,9,9
19,7,7
17,7,7
17,7,7
16,8,8
18,7,7
16,8,8
16,8,8
15,5,5
17,5,5
17,6,6
17,5,5
17,9,9
15,6,6
17,8,8
16,7,7
18,4,4
16,5,5
19,7,7
16,6,6
17,6,6
18,8,8
15,5,5
18,7,7
18,4,4
16,7,7
17,7,7
18,7,7
17,6,6
17,5,5
16,6,6
17,7,7
18,7,7
16,7,7
17,8,8
18,6,6
19,7,7
16,8,8
17,8,8
15,6,6
17,8,8
17,5,5
17,5,5
17,7,7
19,7,7
17,8,8
